label,volume_voxels,centroid-0,centroid-1,centroid-2,nearest_neighbor_dist
32,30494.0,102.55604381189742,605.1501934806847,218.25778841739358,22.73939228076197
33,23818.0,88.81161306574859,589.2543874380721,227.22781089931985,22.302983183108136
34,33731.0,50.51196228988171,604.9448578458985,217.33660431057484,23.122155258806355
35,11689.0,74.99178715031226,610.5997946787578,309.72906151082213,20.09188995402935
36,22340.0,68.15720680393912,624.8162488809311,288.7369740376007,20.214938019658707
37,4159.0,68.24717480163501,604.8208704015389,291.706900697283,20.09188995402935
38,26156.0,43.84103073864505,625.7527527144823,224.8973084569506,23.122155258806355
39,32981.0,43.87826324247294,295.41066068342377,218.00900518480339,25.529968151804937
40,12134.0,82.43266853469589,615.4168452282842,215.66441404318445,17.90075814302808
41,13585.0,5.4587412587412585,135.45594405594406,280.3673905042326,27.45773125714948
42,15081.0,89.15914064054108,599.2965320602082,194.40733373118493,25.752919679011537
43,12985.0,76.6929534077782,605.9072006160955,235.78613785136696,18.25655592683761
44,24109.0,116.65539839893816,569.3002198349164,267.0674436932266,20.71236428663912
45,5812.0,12.252752924982794,167.45474879559532,337.5459394356504,17.295595872401044
46,8874.0,61.95391029975208,566.6889790398918,174.06130268199234,30.8904042388523
47,23162.0,26.682583542008462,269.87777394007423,201.68241084535015,21.596534492003634
48,15382.0,35.13437784423352,268.985502535431,228.1549863476791,18.695426916351416
49,7392.0,56.23795995670996,596.8222402597403,242.1243235930736,23.261897176631216
50,6156.0,6.512345679012346,166.37670565302145,321.26640675763485,17.295595872401044
51,18406.0,28.285722047158536,253.36211018146255,235.80511789633815,16.661430452310938
52,23690.0,19.963402279442803,255.639932460954,257.4642887294217,21.95370165948132
53,18882.0,83.98877237580764,614.6174663700879,277.858913250715,21.748237621541545
54,16797.0,55.07245341430017,625.7191760433411,250.53289277847236,13.366190429586231
55,10160.0,73.05452755905512,622.4669291338582,242.55659448818898,18.25655592683761
56,9447.0,4.135598602731026,151.58346565047106,255.48639779824282,29.680152582249402
57,5931.0,6.040802562805598,154.38576968470747,347.1085820266397,17.344471039094245
58,2544.0,61.255503144654085,637.2763364779875,247.91430817610063,13.366190429586231
59,11782.0,65.04532337463928,369.4186046511628,235.3890680699372,37.695110497330326
60,12418.0,4.201723304880013,149.9726203897568,369.5463842808826,22.94151410035885
61,3963.0,19.976785263689123,287.79207670956345,213.27024981074942,22.36443574415561
62,2536.0,55.98186119873817,421.19597791798105,283.97712933753945,21.675456593230564
63,4196.0,71.1961391801716,584.7938512869399,325.54647283126786,30.504821893187756
64,16488.0,8.904900533721495,274.29839883551676,330.0610140708394,22.30774282239723
65,9956.0,7.1765769385295295,539.2183607874648,343.0544395339494,43.853373312928056
66,5870.0,28.171720613287906,275.9884156729131,256.73781942078364,11.021815466935848
67,7987.0,38.540127707524725,621.1616376611994,252.0458244647552,17.21562986553097
68,9618.0,10.145664379288833,165.7651278852152,303.86930754834685,15.20538931765884
69,7255.0,3.44934527911785,122.81392143349414,304.6587181254307,20.74162045997287
70,6916.0,29.852082128397917,281.664979757085,247.44086176980915,11.021815466935848
71,6435.0,89.64708624708625,633.1022533022533,214.73053613053614,18.34839772454963
72,15184.0,20.545508429926237,302.51494994731297,330.561512118019,26.371857347100416
73,12231.0,73.19491456136048,627.2032540266536,191.52759381898454,21.691333803114116
74,2428.0,109.68574958813839,558.0197693574959,282.97899505766065,20.71236428663912
75,5476.0,3.406501095690285,129.59751643535427,342.7191380569759,18.955312741850598
76,13339.0,12.303021215983208,169.8053077442087,278.4641277457081,24.102982262377974
77,9969.0,10.996489116260408,252.68482295114856,308.44798876517206,17.61448189697728
78,8890.0,50.389538807649046,321.18908886389204,236.7859392575928,15.869487134245329
79,4482.0,21.227130745203034,186.04596162427487,298.6048639000446,10.94226062978723
80,7591.0,25.1496509023844,194.95257541825848,293.6029508628639,10.94226062978723
81,5319.0,71.73002444068435,629.5245346869713,213.04455724760294,17.90075814302808
